movie_id,date,movie_rating,rating_count,rating_weight
26794435,"2019-07-26(中国大陆),2019-07-13(大规模点映)",8.5,1534357,"43.5%,39.2%,14.7%,2.0%,0.6%"
30220799,"2020-11-20(中国大陆),2020-07-29(比利时),2020-12-18(美国网络)",5.7,15490,"3.1%,14.6%,49.6%,28.1%,4.6%"
26752088,"2018-07-05(中国大陆),2018-06-30(大规模点映)",9.0,1610333,"57.9%,34.7%,6.7%,0.5%,0.2%"
26387939,"2017-05-05(中国大陆),2016-12-23(印度)",9.0,1210504,"59.1%,33.7%,6.6%,0.4%,0.1%"
25662329,"2016-03-04(中国大陆/美国),2020-07-24(中国大陆重映)",9.2,1414134,"64.6%,30.3%,4.9%,0.2%,0.1%"
30166972,2019-10-25(中国大陆),8.3,1190973,"35.6%,46.5%,15.0%,1.8%,1.0%"
27060077,"2019-03-01(中国大陆),2018-09-11(多伦多电影节),2018-11-16(美国)",8.9,1182358,"54.8%,38.1%,6.6%,0.4%,0.1%"
26683290,"2016-12-02(中国大陆),2016-08-26(日本)",8.4,1061786,"42.5%,39.2%,16.3%,1.6%,0.4%"
32659890,2019-09-30(中国大陆),7.7,816331,"22.4%,46.7%,26.9%,3.1%,0.9%"
26266893,"2019-02-05(中国大陆),2020-11-26(中国大陆重映)",7.9,1602957,"32.3%,38.4%,22.3%,4.7%,2.3%"
27010768,"2019-05-21(戛纳电影节),2019-05-30(韩国)",8.7,1044369,"47.5%,43.0%,8.5%,0.6%,0.3%"
20495023,"2017-11-24(中国大陆),2020-07-20(中国大陆重映),2017-11-22(美国)",9.1,1191509,"61.8%,31.0%,6.7%,0.4%,0.1%"
3319755,"2010-07-26(好莱坞首映),2010-09-10(美国)",9.1,1378437,"61.4%,31.3%,6.7%,0.4%,0.1%"
3541415,"2010-09-01(中国大陆),2020-08-28(中国大陆重映),2010-07-16(美国)",9.3,1611486,"71.4%,24.6%,3.7%,0.2%,0.1%"
25986180,"2016-05-13(戛纳电影节),2016-07-20(韩国)",8.5,888920,"41.7%,45.3%,11.7%,0.9%,0.3%"
3742360,2010-12-16(中国大陆),8.8,1237037,"54.0%,35.3%,9.5%,0.9%,0.3%"
27605698,2018-07-27(中国大陆),6.6,827090,"9.6%,29.2%,44.5%,12.9%,3.7%"
26348103,"2020-08-25(中国大陆),2019-12-25(美国)",8.1,297719,"29.0%,49.2%,19.5%,2.0%,0.3%"
1889243,"2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",9.3,1283608,"72.2%,22.9%,4.3%,0.4%,0.3%"
30170448,"2019-04-29(中国大陆),2018-05-17(戛纳电影节),2018-09-20(黎巴嫩)",9.1,751655,"61.7%,33.0%,4.9%,0.3%,0.1%"
26861685,"2018-02-16(中国大陆),2020-07-24(中国大陆重映)",8.3,856001,"37.7%,42.6%,16.5%,2.3%,0.9%"
26698897,2018-02-16(中国大陆),6.7,733626,"8.3%,33.3%,44.6%,10.7%,3.1%"
4920389,"2018-03-30(中国大陆),2018-03-11(西南偏南电影节),2018-03-29(美国)",8.7,1078371,"48.3%,38.0%,12.1%,1.2%,0.4%"
30252495,"2020-08-07(中国大陆),2019-12-25(美国),2020-01-10(英国)",8.5,373346,"38.5%,49.1%,11.5%,0.7%,0.1%"
30163509,2019-02-05(中国大陆),6.9,765589,"11.1%,36.2%,41.6%,9.3%,1.9%"
26100958,"2019-04-24(中国大陆),2019-04-26(美国)",8.5,893830,"46.4%,35.5%,15.4%,1.9%,0.8%"
30334073,"2019-04-03(中国大陆),2018-10-05(印度)",8.3,730809,"33.7%,49.0%,15.5%,1.5%,0.3%"
30176393,"2019-12-13(中国大陆),2020-07-20(中国大陆重映),2019-12-07(大规模点映)",7.7,651665,"17.7%,52.4%,26.3%,3.0%,0.7%"
11026735,"2015-02-28(中国大陆),2020-07-31(中国大陆重映),2014-10-23(东京电影节),2014-11-07(美国)",8.7,766188,"46.9%,41.6%,10.7%,0.7%,0.1%"
30402296,"2019-11-01(中国大陆),2019-07-19(日本)",7.1,272400,"14.9%,36.6%,39.9%,7.4%,1.2%"
26363254,2017-07-27(中国大陆),7.1,764899,"19.6%,34.5%,31.6%,8.8%,5.5%"
25964071,2015-09-30(中国大陆),7.7,718025,"25.6%,41.9%,25.6%,4.9%,2.1%"
1929463,"2012-11-22(中国大陆),2012-09-28(纽约电影节),2012-11-21(美国)",9.1,1088550,"61.0%,31.8%,6.6%,0.5%,0.2%"
3287562,"2010-06-20(莫斯科电影节),2010-07-09(美国)",8.6,751182,"42.9%,45.0%,11.4%,0.6%,0.1%"
27110296,2018-11-16(中国大陆),8.1,855518,"29.5%,48.1%,19.6%,2.3%,0.5%"
26985127,2018-08-10(中国大陆),7.1,772620,"12.0%,41.3%,37.9%,7.0%,1.7%"
25921812,2016-10-28(中国大陆),8.3,712158,"38.9%,43.6%,14.4%,2.3%,0.8%"
26580232,"2017-09-15(中国大陆),2016-09-23(奇幻电影节),2017-01-06(西班牙)",8.8,912388,"49.0%,41.9%,8.5%,0.4%,0.1%"
3878007,"2018-12-07(中国大陆),2018-12-21(美国)",7.6,758219,"21.3%,43.1%,30.2%,4.5%,0.9%"
26311973,2015-12-31(中国大陆),7.6,614145,"19.0%,49.2%,27.4%,3.4%,1.0%"
27119724,"2019-08-31(威尼斯电影节),2019-10-04(美国)",8.7,765538,"49.1%,38.4%,10.6%,1.2%,0.7%"
26425063,"2018-09-30(中国大陆),2018-10-04(中国香港)",8.1,772366,"26.3%,53.0%,18.7%,1.6%,0.3%"
27024903,"2017-10-13(中国大陆),2017-05-03(泰国)",8.2,601008,"28.5%,53.6%,16.6%,1.1%,0.2%"
3168101,"2018-11-09(中国大陆),2018-10-05(美国)",7.2,690356,"12.2%,43.1%,39.4%,4.8%,0.6%"
27038183,2017-09-30(中国大陆),6.9,582257,"11.0%,34.7%,42.7%,9.4%,2.2%"
30295905,2019-09-30(中国大陆),6.7,614521,"9.7%,32.4%,44.3%,11.4%,2.2%"
24773958,"2018-05-11(中国大陆),2018-04-23(加州首映),2018-04-27(美国)",8.1,680956,"33.4%,43.9%,19.6%,2.3%,0.8%"
19944106,2016-02-08(中国大陆/中国香港),6.7,674176,"12.7%,28.9%,42.1%,12.2%,4.1%"
5912992,2011-09-22(韩国),9.3,718895,"70.8%,25.5%,3.4%,0.2%,0.1%"
30331149,"2019-01-11(中国大陆),2020-07-20(中国大陆重映)",7.9,581380,"25.5%,46.4%,24.7%,2.9%,0.5%"
25958717,"2019-05-16(中国大陆),2015-12-10(德国)",9.2,324380,"66.8%,27.9%,4.9%,0.3%,0.1%"
6874741,2018-01-12(中国大陆),7.6,624267,"25.4%,39.4%,26.7%,6.6%,2.0%"
26862829,"2017-12-15(中国大陆),2017-09-07(多伦多电影节)",7.6,689881,"20.9%,46.2%,28.0%,3.9%,0.9%"
6786002,2011-11-02(法国),9.2,765071,"67.3%,28.0%,4.3%,0.3%,0.1%"
4739952,"2012-06-05(中国大陆),2010-08-12(泰国)",8.4,803790,"40.3%,42.3%,15.6%,1.4%,0.4%"
